number_of_rooms,metro,address,area,parking,renovation,windows,ceiling_height,elevator,price_monthly,deposit,utility,type_house,current_floor,total_floors,combined_bathrooms,separate_bathrooms
4,9.0,"Москва, улица Новый Арбат, 27",200.0,0,0,1,3.0,"Пасс (4), Груз (1)",500000.0,500000.0,включены,0,5,16,0.0,0.0
4,8.0,"Москва, улица Новый Арбат, 27",198.0,0,0,0,3.5,"Пасс (1), Груз (1)",500000.0,500000.0,включены,1,5,16,0.0,0.0
4,7.0,"Москва, улица Новый Арбат, 27",200.0,0,1,0,3.2,Пасс (1),500000.0,500000.0,nan,2,5,16,0.0,0.0
4,3.0,"Москва, переулок Плотников, 21С1",170.0,0,1,0,3.2,Пасс (1),400000.0,400000.0,nan,2,5,6,0.0,0.0
2,7.0,"Москва, улица Новый Арбат, 15",58.0,1,1,0,3.9,"Пасс (1), Груз (1)",225000.0,225000.0,включены,2,12,26,0.0,0.0
3,5.0,"Москва, 1-й Смоленский переулок, 21",92.0,0,0,1,3.4187468668474836,Пасс (1),470000.0,470000.0,nan,2,3,7,0.0,0.0
5,4.0,"Москва, переулок Романов, 3С1",213.0,1,1,0,3.2,Пасс (1),350000.0,350000.0,nan,2,4,5,0.0,0.0
3,3.0,"Москва, улица Арбат, 43С3",98.0,0,1,1,3.2,Пасс (1),250000.0,250000.0,включены,0,2,4,0.0,0.0
3,9.0,"Москва, Новинский бульвар, 18С1",120.0,2,1,2,3.0,Пасс (1),130000.0,130000.0,включены,3,5,10,0.0,0.0
4,10.0,"Москва, улица Арбат, 30/3С1",90.0,2,1,0,310.0,Пасс (1),210000.0,210000.0,включены,3,2,7,0.0,0.0
4,5.0,"Москва, Малый Николопесковский переулок, 4",170.0,0,1,0,3.2,Пасс (1),290000.0,290000.0,nan,2,6,7,0.0,0.0
3,2.0,"Москва, Новинский бульвар, 7",80.0,0,1,0,3.5013293644977863,Пасс (1),100000.0,110000.0,включены,4,4,8,0.0,0.0
3,8.0,"Москва, Большой Николопесковский переулок, 13",100.0,0,0,1,3.3571434108004365,Пасс (1),200000.0,200000.0,включены,4,2,4,0.0,0.0
