number_of_rooms,metro,area,parking,renovation,windows,ceiling_height,elevator,price_monthly,deposit,type_house,current_floor,total_floors
4,9.0,200.0,0,0,1,3.0,1,500000.0,500000.0,0,5,16
4,8.0,198.0,0,0,0,3.5,4,500000.0,500000.0,1,5,16
4,7.0,200.0,0,1,0,3.2,2,500000.0,500000.0,2,5,16
4,3.0,170.0,0,1,0,3.2,4,400000.0,400000.0,2,5,6
2,7.0,58.0,1,1,0,3.9,3,225000.0,225000.0,2,12,26
3,5.0,92.0,0,0,1,3.136157656306499,2,470000.0,470000.0,2,3,7
5,4.0,213.0,1,1,0,3.2,2,350000.0,350000.0,2,4,5
3,3.0,98.0,0,1,1,3.2,4,250000.0,250000.0,0,2,4
3,9.0,120.0,2,1,2,3.0,4,130000.0,130000.0,3,5,10
4,10.0,90.0,2,1,0,310.0,1,210000.0,210000.0,3,2,7
4,5.0,170.0,0,1,0,3.2,3,290000.0,290000.0,2,6,7
3,2.0,80.0,0,1,0,3.321850284833779,1,100000.0,110000.0,4,4,8
3,8.0,100.0,0,0,1,3.197225868515192,3,200000.0,200000.0,4,2,4
5,9.0,180.0,0,0,2,3.2706805233491782,3,500000.0,500000.0,0,6,8
5,5.0,222.2,0,1,1,3.316769705675661,1,450000.0,450000.0,0,5,9
5,6.0,225.0,0,0,1,2.6417122424042914,1,450000.0,450000.0,0,5,9
2,10.0,30.0,1,1,2,3.8875842887010577,4,120000.0,120000.0,2,19,26
5,5.0,222.0,0,0,1,3.038316285345122,2,450000.0,450000.0,2,5,9
5,12.0,150.0,1,1,1,2.7288222461200085,3,180000.0,180000.0,4,4,7
5,6.0,201.0,0,1,0,3.2,4,190000.0,190000.0,2,3,3
2,9.0,64.0,1,1,2,3.5269592708413,2,205000.0,205000.0,2,12,26
3,5.0,112.0,0,1,0,3.2,4,230000.0,230000.0,2,2,7
4,5.0,190.0,0,0,1,3.1627234830505797,1,590000.0,590000.0,2,4,5
5,8.0,255.6,0,1,1,3.696537121697566,1,850000.0,850000.0,0,8,9
5,5.0,186.0,2,1,0,3.3,4,190000.0,190000.0,5,3,3
3,5.0,100.0,1,1,0,3.2,3,200000.0,200000.0,2,3,8
5,11.0,150.0,0,1,1,3.015441380903451,3,200000.0,200000.0,2,4,7
5,7.0,140.0,0,0,2,3.7569962865345614,2,300000.0,300000.0,2,2,7
3,15.0,132.8,0,1,1,2.8782625941929774,1,400000.0,400000.0,0,5,13
5,10.0,256.0,0,0,0,3.0,1,750000.0,750000.0,1,8,10
6,5.0,380.0,2,2,0,4.0,3,870000.0,870000.0,5,3,6
3,7.0,112.0,0,2,1,3.15,2,350000.0,350000.0,1,3,13
2,7.0,91.0,0,2,1,3.15,2,400000.0,400000.0,1,10,13
3,11.0,135.0,0,0,0,3.078982458731017,4,400000.0,400000.0,1,5,13
4,3.0,190.0,0,0,0,3.2,3,590000.0,590000.0,1,4,5
2,15.0,44.0,1,2,1,4.15,1,135000.0,135000.0,2,21,26
3,12.276339583135053,85.0,0,1,1,3.8637774622142356,1,150000.0,150000.0,2,7,7
2,7.0,100.0,0,2,2,3.0,1,320000.0,320000.0,1,5,7
3,7.0,133.3,0,2,1,3.15,1,400000.0,400000.0,1,5,13
4,7.0,210.0,0,2,0,3.8,3,400000.0,400000.0,2,3,5
4,9.0,180.0,0,2,1,3.1719109857754524,4,450000.0,450000.0,2,4,4
4,5.0,165.0,1,2,1,3.35,3,470000.0,470000.0,1,9,16
4,6.0,190.0,0,2,1,4.05,2,590000.0,590000.0,2,4,6
4,5.0,168.0,1,2,1,3.35,3,600000.0,600000.0,1,4,16
5,8.0,250.0,0,2,1,2.9413889055572646,4,850000.0,850000.0,1,8,9
